"Suicide by Age (years)"
"Age (years)","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"45-54 years","2014","17.2","14.7","20.0"
"45-54 years","2015","19.0","16.4","21.9"
"45-54 years","2016","13.4","11.2","15.9"
"45-54 years","2017","17.3","14.8","20.1"
"45-54 years","2018","15.0","12.7","17.6"
"45-54 years","2019","17.8","15.3","20.6"
""
"Source:"
"Mortality estimates for years up to 2005 are based on Australian Bureau of Statistics death registration data. Data from 2006 onwards were provided by the Australian Coordinating Registry, Cause of Death Unit Record File; the data for the most 2 recent years are preliminary (SAPHaRI, Centre for Epidemiology and Evidence, NSW Ministry of Health)."
"Citation:"
"Centre for Epidemiology and Evidence.  HealthStats NSW. Sydney:  NSW Ministry of Health Available at: https://www.healthstats.nsw.gov.au/#/r/102989 Accessed: 20/06/2022"
"Notes:"
"Sources"
"Mortality estimates for years up to 2005 are based on Australian Bureau of Statistics death registration data. Data from 2006 onwards were provided by the Australian Coordinating Registry, Cause of Death Unit Record File; the data for the most 2 recent years are preliminary (SAPHaRI, Centre for Epidemiology and Evidence, NSW Ministry of Health)."
""
"Definition"
"The cause of death unit record file is a snapshot of data that is compiled and coded (ICD-10) by the Australian Bureau of Statistics (ABS), based on data from the data custodians, that is correct as at a point in time."
"Suicide comprises any intentional self-harm with fatal result. Intentional self harm includes suicide (attempted) and purposely self-inflicted poisoning or injury (WHO 1992)."
"Inclusions & Exclusions"
"Only NSW residents are included."
""
"Coding"
"Deaths were classified using ICD-10 from 1997 onwards."
"Statistical Methods"
"Counts of deaths for the latest year of data include an estimate of the number of deaths occurring in that year but registered in the next year."
"Rates were age-adjusted using the Australian population as at 30 June 2001."
"For details see Age Standardisation paper"
"Dimensions/Variables"
"As Aboriginal people are under-reported on Death Registration Forms, it is likely that the true numbers are higher than shown."
"Local Health Districts (LHDs) are health administrative areas constituted under Section 17 of the NSW Health Services Act 1997 which became effective from January 2011 and were initially called Local Health Networks."
"Murrumbidgee LHD excludes Albury Local Government Area (LGA)."
"All LHDs includes LHDs where numbers are too low to be individually included, and records where the LHD was missing or not stated."
"Primary Health Networks (PHNs) are health administrative areas which represent primary health care organisations in Australia from July 2014."
"All PHNs include records where the Primary Health Network is missing or not stated as well as records assigned to the NSW portion of the Murray PHN."
"The Accessibility/Remoteness Index of Australia Plus (ARIA plus) is a remoteness index value (or score) based on road distance to major service centres (GISCA)."
"Statistical Areas are grouped according to Australian Statistical Geographic Standard (ASGS) remoteness categories on the basis of Accessibility/Remoteness Index for Australia (ARIA version) score."
"Outer regional and remote includes very remote."
"Socio-Economic Indexes for Areas (SEIFA) are produced by the Australian Bureau of Statistics, with four indexes currently being produced. Index of Relative Socio-Economic Disadvantage (IRSD) is the main index reported by HealthStats NSW. It includes characteristics relating to occupation, education, non-English speaking background and the economic resources of the household."
"Quintiles of socioeconomic status (Index of Relative Socioeconomic Disadvantage) based on the Australian Bureau of Statistics' Socio-Economic Indexes for Areas were allocated based on Statistical Local Area of residence (before 2009) or Statistical Area Level 2 of residence (2009 and after)."
""
