"Intentional self-harm hospitalisations by Age (years)"
"Age (years)","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"65-74 years","13/14","36.2","31.6","41.3"
"65-74 years","14/15","36.6","32.1","41.6"
"65-74 years","15/16","37.6","33.1","42.5"
"65-74 years","16/17","42.6","37.9","47.8"
"65-74 years","17/18","33.4","29.3","38.0"
"65-74 years","18/19","35.1","30.9","39.6"
"65-74 years","19/20","33.4","29.3","37.8"
"75+ years","01/02","32.0","26.7","38.1"
"75+ years","02/03","32.4","27.1","38.5"
"75+ years","03/04","40.4","34.6","47.0"
"75+ years","04/05","37.6","32.0","43.9"
"75+ years","05/06","35.1","29.8","41.1"
"75+ years","06/07","36.8","31.4","42.9"
"75+ years","07/08","39.9","34.2","46.2"
"75+ years","08/09","35.1","29.9","41.0"
"75+ years","09/10","35.1","29.9","40.8"
"75+ years","10/11","34.4","29.3","40.0"
"75+ years","11/12","33.9","28.9","39.4"
"75+ years","12/13","38.0","32.7","43.9"
"75+ years","13/14","40.6","35.2","46.5"
"75+ years","14/15","35.5","30.6","41.0"
"75+ years","15/16","43.1","37.7","49.0"
"75+ years","16/17","42.8","37.5","48.6"
"75+ years","17/18","36.3","31.5","41.7"
"75+ years","18/19","35.6","30.9","40.8"
"75+ years","19/20","35.8","31.1","40.9"
""
"Source:"
"NSW Combined Admitted Patient Epidemiology Data and ABS population estimates (SAPHaRI). Centre for Epidemiology and Evidence, NSW Ministry of Health."
"Citation:"
"Centre for Epidemiology and Evidence.  HealthStats NSW. Sydney:  NSW Ministry of Health Available at: https://www.healthstats.nsw.gov.au/#/r/103008 Accessed: 21/06/2022"
"Notes:"
"Sources"
"NSW Combined Admitted Patient Epidemiology Data and ABS population estimates (SAPHaRI). Centre for Epidemiology and Evidence, NSW Ministry of Health."
"Definition"
"Intentional self-harm includes purposely self-inflicted poisoning or injury or attempted suicide with intent based on notes recorded by the treating clinician. This indicator measures people admitted to hospital after self-harm. It is not a direct measure of the number of people in the NSW population who make suicide attempts."
"Inclusions & Exclusions"
"Patients treated solely within the emergency department are excluded from this indicator prior to 2017/18 due to a policy change impacting hospital admission criteria from this time (PD2017_015). However, a minority of patients being managed in short stay areas of emergency departments are still included."
"Further information about the exclusion of patients treated solely in emergency departments can be found here."
"Rehabilitation records are excluded to allow comparison of consistent trends over time."
"Only NSW residents are included."
"Coding"
"Hospital separations were classified using ICD-10-AM."
"Statistical Methods"
"Figures are based on where a person resides, not where they are treated."
"Numbers for recent years include an estimate of the small number of hospitalisations of NSW residents in interstate public hospitals, data for which were unavailable at the time of production."
"Rates were age-adjusted using the Australian population as at 30 June 2001."
"Spatial adjustment methods were used to calculate the adjusted rates for the local government area views."
"Dimensions/Variables"
"As Aboriginal people are under-reported on the Combined Admitted Patient Epidemiology Data collection, it is likely that the true numbers are higher than shown in this dimension. Additional information can be found on the quality of reporting on Aboriginality in hospital data here."
"Local Health Districts (LHDs) are health administrative areas constituted under Section 17 of the NSW Health Services Act 1997 which became effective from January 2011 and were initially called Local Health Networks."
"Data for some Local Health Districts (LHDs) may not be included individually due to low numbers."
"All LHDs includes LHDs where numbers are too low to be individually included, and records where the LHD was missing or not stated."
"Primary Health Networks (PHNs) are health administrative areas which represent primary health care organisations in Australia from July 2014."
"All PHNs include records where the Primary Health Network is missing or not stated as well as records assigned to the NSW portion of the Murray PHN."
"Local Government Area boundaries used were those as defined in 2016."
"The Accessibility/Remoteness Index of Australia Plus (ARIA plus) is a remoteness index value (or score) based on road distance to major service centres (GISCA)."
"Statistical Areas are grouped according to Australian Statistical Geographic Standard (ASGS) remoteness categories on the basis of Accessibility/Remoteness Index for Australia (ARIA version) score."
"Outer regional and remote includes very remote."
"Socio-Economic Indexes for Areas (SEIFA) are produced by the Australian Bureau of Statistics, with four indexes currently being produced. Index of Relative Socio-Economic Disadvantage (IRSD) is the main index reported by HealthStats NSW. It includes characteristics relating to occupation, education, non-English speaking background and the economic resources of the household."
"Quintiles of socioeconomic status (Index of Relative Socioeconomic Disadvantage) based on the Australian Bureau of Statistics' Socio-Economic Indexes for Areas were allocated based on Statistical Local Area of residence (before 2009-10) or Statistical Area Level 2 of residence (2009-10 and after)."
