"Suicide"
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"South Eastern Sydney LHD","2014","10.7","8.7","13.0"
"South Eastern Sydney LHD","2015","9.5","7.6","11.8"
"South Eastern Sydney LHD","2016","7.6","5.9","9.6"
"South Eastern Sydney LHD","2017","11.7","9.7","14.1"
"South Eastern Sydney LHD","2018","8.4","6.7","10.5"
"South Eastern Sydney LHD","2019","8.2","6.5","10.2"
""
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Illawarra Shoalhaven LHD","2007","10.1","7.0","14.0"
"Illawarra Shoalhaven LHD","2008","12.5","9.1","16.7"
"Illawarra Shoalhaven LHD","2009","8.3","5.7","11.7"
"Illawarra Shoalhaven LHD","2010","13.0","9.5","17.2"
"Illawarra Shoalhaven LHD","2011","15.3","11.6","19.8"
"Illawarra Shoalhaven LHD","2012","10.6","7.5","14.5"
"Illawarra Shoalhaven LHD","2013","9.5","6.6","13.2"
"Illawarra Shoalhaven LHD","2014","11.3","8.2","15.3"
"Illawarra Shoalhaven LHD","2015","13.2","9.8","17.5"
"Illawarra Shoalhaven LHD","2016","9.8","6.9","13.4"
"Illawarra Shoalhaven LHD","2017","14.2","10.6","18.6"
"Illawarra Shoalhaven LHD","2018","15.2","11.5","19.6"
"Illawarra Shoalhaven LHD","2019","17.5","13.6","22.1"
""
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Western Sydney LHD","2007","7.9","6.0","10.2"
"Western Sydney LHD","2008","9.3","7.3","11.7"
"Western Sydney LHD","2009","6.1","4.5","8.0"
"Western Sydney LHD","2010","5.7","4.1","7.6"
"Western Sydney LHD","2011","5.9","4.4","7.9"
"Western Sydney LHD","2012","10.1","8.0","12.4"
"Western Sydney LHD","2013","6.2","4.6","8.1"
"Western Sydney LHD","2014","8.8","6.9","11.0"
"Western Sydney LHD","2015","7.6","5.9","9.6"
"Western Sydney LHD","2016","8.0","6.3","10.0"
"Western Sydney LHD","2017","6.8","5.3","8.7"
"Western Sydney LHD","2018","7.4","5.8","9.3"
"Western Sydney LHD","2019","6.1","4.7","7.8"
""
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Nepean Blue Mountains LHD","2007","11.8","8.3","16.1"
"Nepean Blue Mountains LHD","2008","7.4","4.8","11.0"
"Nepean Blue Mountains LHD","2009","13.7","10.0","18.4"
"Nepean Blue Mountains LHD","2010","8.6","5.7","12.3"
"Nepean Blue Mountains LHD","2011","9.7","6.7","13.6"
"Nepean Blue Mountains LHD","2012","9.7","6.7","13.5"
"Nepean Blue Mountains LHD","2013","9.0","6.1","12.8"
"Nepean Blue Mountains LHD","2014","14.7","11.0","19.4"
"Nepean Blue Mountains LHD","2015","12.4","9.0","16.7"
"Nepean Blue Mountains LHD","2016","13.3","9.8","17.6"
"Nepean Blue Mountains LHD","2017","16.8","12.9","21.6"
"Nepean Blue Mountains LHD","2018","12.6","9.2","16.8"
"Nepean Blue Mountains LHD","2019","9.1","6.3","12.8"
""
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Northern Sydney LHD","2007","8.5","6.7","10.8"
"Northern Sydney LHD","2008","7.0","5.3","9.0"
"Northern Sydney LHD","2009","8.1","6.3","10.2"
"Northern Sydney LHD","2010","7.6","5.9","9.6"
"Northern Sydney LHD","2011","6.6","5.0","8.5"
"Northern Sydney LHD","2012","8.2","6.5","10.4"
"Northern Sydney LHD","2013","7.8","6.1","9.8"
"Northern Sydney LHD","2014","8.7","6.9","10.8"
"Northern Sydney LHD","2015","7.5","5.8","9.5"
"Northern Sydney LHD","2016","6.6","5.1","8.5"
"Northern Sydney LHD","2017","8.9","7.1","11.1"
"Northern Sydney LHD","2018","7.3","5.7","9.2"
"Northern Sydney LHD","2019","7.4","5.8","9.3"
""
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Central Coast LHD","2007","9.1","5.9","13.3"
"Central Coast LHD","2008","12.9","9.2","17.7"
"Central Coast LHD","2009","11.5","8.1","16.0"
"Central Coast LHD","2010","12.3","8.7","16.9"
"Central Coast LHD","2011","10.0","6.7","14.4"
"Central Coast LHD","2012","12.2","8.6","16.7"
"Central Coast LHD","2013","12.1","8.5","16.6"
"Central Coast LHD","2014","13.1","9.4","17.8"
"Central Coast LHD","2015","12.1","8.5","16.7"
"Central Coast LHD","2016","13.8","10.0","18.5"
"Central Coast LHD","2017","15.0","11.1","19.9"
"Central Coast LHD","2018","13.0","9.3","17.7"
"Central Coast LHD","2019","16.5","12.4","21.6"
""
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Hunter New England LHD","2007","9.1","7.1","11.5"
"Hunter New England LHD","2008","7.5","5.7","9.6"
"Hunter New England LHD","2009","10.3","8.2","12.8"
"Hunter New England LHD","2010","9.3","7.4","11.7"
"Hunter New England LHD","2011","8.5","6.6","10.7"
"Hunter New England LHD","2012","15.5","12.9","18.5"
"Hunter New England LHD","2013","11.9","9.6","14.5"
"Hunter New England LHD","2014","12.5","10.2","15.1"
"Hunter New England LHD","2015","16.4","13.8","19.3"
"Hunter New England LHD","2016","13.5","11.2","16.2"
"Hunter New England LHD","2017","17.6","15.0","20.6"
"Hunter New England LHD","2018","13.8","11.4","16.6"
"Hunter New England LHD","2019","17.0","14.3","19.9"
""
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Northern NSW LHD","2007","11.2","7.5","16.0"
"Northern NSW LHD","2008","15.8","11.2","21.6"
"Northern NSW LHD","2009","12.1","8.3","17.0"
"Northern NSW LHD","2010","11.1","7.4","15.9"
"Northern NSW LHD","2011","10.8","7.0","15.8"
"Northern NSW LHD","2012","17.6","12.6","23.7"
"Northern NSW LHD","2013","14.7","10.4","20.0"
"Northern NSW LHD","2014","15.9","11.4","21.5"
"Northern NSW LHD","2015","17.6","12.9","23.5"
"Northern NSW LHD","2016","19.0","13.9","25.2"
"Northern NSW LHD","2017","17.1","12.3","22.9"
"Northern NSW LHD","2018","20.6","15.4","27.0"
"Northern NSW LHD","2019","20.8","15.4","27.2"
""
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Mid North Coast LHD","2007","5.0","2.2","9.4"
"Mid North Coast LHD","2008","8.4","4.7","13.8"
"Mid North Coast LHD","2009","10.9","6.6","16.9"
"Mid North Coast LHD","2010","8.5","4.9","13.8"
"Mid North Coast LHD","2011","10.4","6.2","16.1"
"Mid North Coast LHD","2012","11.6","7.3","17.5"
"Mid North Coast LHD","2013","10.7","6.4","16.7"
"Mid North Coast LHD","2014","18.3","12.4","25.8"
"Mid North Coast LHD","2015","16.0","10.5","23.2"
"Mid North Coast LHD","2016","18.5","12.7","25.8"
"Mid North Coast LHD","2017","17.5","12.1","24.6"
"Mid North Coast LHD","2018","12.0","7.6","18.0"
"Mid North Coast LHD","2019","21.2","14.9","29.1"
""
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Southern NSW LHD","2007","6.7","3.5","11.7"
"Southern NSW LHD","2008","13.4","8.6","20.0"
"Southern NSW LHD","2009","8.4","4.7","13.9"
"Southern NSW LHD","2010","15.7","10.5","22.6"
"Southern NSW LHD","2011","8.0","4.6","13.0"
"Southern NSW LHD","2012","18.8","13.1","26.3"
"Southern NSW LHD","2013","14.7","9.8","21.2"
"Southern NSW LHD","2014","5.5","2.8","9.6"
"Southern NSW LHD","2015","16.2","11.1","22.9"
"Southern NSW LHD","2016","18.6","12.8","26.1"
"Southern NSW LHD","2017","18.9","13.3","26.0"
"Southern NSW LHD","2018","13.2","8.5","19.5"
"Southern NSW LHD","2019","14.5","9.6","21.0"
""
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Murrumbidgee LHD","2007","14.0","9.4","20.1"
"Murrumbidgee LHD","2008","6.4","3.6","10.4"
"Murrumbidgee LHD","2009","10.2","6.5","15.3"
"Murrumbidgee LHD","2010","10.0","6.2","15.2"
"Murrumbidgee LHD","2011","12.0","7.7","17.6"
"Murrumbidgee LHD","2012","12.2","8.1","17.7"
"Murrumbidgee LHD","2013","11.1","7.3","16.2"
"Murrumbidgee LHD","2014","12.4","8.3","17.9"
"Murrumbidgee LHD","2015","15.8","11.0","22.0"
"Murrumbidgee LHD","2016","21.7","16.0","28.7"
"Murrumbidgee LHD","2017","19.8","14.2","26.6"
"Murrumbidgee LHD","2018","16.3","11.4","22.4"
"Murrumbidgee LHD","2019","16.2","11.3","22.3"
""
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Western NSW LHD","2007","5.5","3.0","9.3"
"Western NSW LHD","2008","11.8","7.8","17.0"
"Western NSW LHD","2009","10.0","6.4","14.9"
"Western NSW LHD","2010","10.0","6.5","14.7"
"Western NSW LHD","2011","9.2","5.7","13.9"
"Western NSW LHD","2012","9.3","5.8","13.9"
"Western NSW LHD","2013","11.7","7.9","16.7"
"Western NSW LHD","2014","13.5","9.4","18.8"
"Western NSW LHD","2015","12.9","8.8","18.0"
"Western NSW LHD","2016","11.5","7.8","16.4"
"Western NSW LHD","2017","15.5","11.1","21.1"
"Western NSW LHD","2018","14.9","10.5","20.3"
"Western NSW LHD","2019","15.8","11.2","21.5"
""
"LHD","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"All LHDs","2007","8.9","8.3","9.7"
"All LHDs","2008","8.6","7.9","9.3"
"All LHDs","2009","8.8","8.2","9.6"
"All LHDs","2010","9.1","8.4","9.8"
"All LHDs","2011","8.5","7.8","9.2"
"All LHDs","2012","10.3","9.6","11.1"
"All LHDs","2013","9.3","8.6","10.0"
"All LHDs","2014","10.8","10.1","11.5"
"All LHDs","2015","11.0","10.2","11.7"
"All LHDs","2016","10.4","9.7","11.2"
"All LHDs","2017","12.3","11.5","13.1"
"All LHDs","2018","10.7","10.0","11.4"
"All LHDs","2019","11.3","10.6","12.1"
""
"Source:"
"Mortality estimates for years up to 2005 are based on Australian Bureau of Statistics death registration data. Data from 2006 onwards were provided by the Australian Coordinating Registry, Cause of Death Unit Record File; the data for the most 2 recent years are preliminary (SAPHaRI, Centre for Epidemiology and Evidence, NSW Ministry of Health)."
"Citation:"
"Centre for Epidemiology and Evidence.  HealthStats NSW. Sydney:  NSW Ministry of Health Available at: https://www.healthstats.nsw.gov.au/#/r/103006 Accessed: 21/06/2022"
"Notes:"
"Sources"
"Mortality estimates for years up to 2005 are based on Australian Bureau of Statistics death registration data. Data from 2006 onwards were provided by the Australian Coordinating Registry, Cause of Death Unit Record File; the data for the most 2 recent years are preliminary (SAPHaRI, Centre for Epidemiology and Evidence, NSW Ministry of Health)."
""
"Definition"
"The cause of death unit record file is a snapshot of data that is compiled and coded (ICD-10) by the Australian Bureau of Statistics (ABS), based on data from the data custodians, that is correct as at a point in time."
"Suicide comprises any intentional self-harm with fatal result. Intentional self harm includes suicide (attempted) and purposely self-inflicted poisoning or injury (WHO 1992)."
"Inclusions & Exclusions"
"Only NSW residents are included."
""
"Coding"
"Deaths were classified using ICD-10 from 1997 onwards."
"Statistical Methods"
"Counts of deaths for the latest year of data include an estimate of the number of deaths occurring in that year but registered in the next year."
"Rates were age-adjusted using the Australian population as at 30 June 2001."
"For details see Age Standardisation paper"
"Dimensions/Variables"
"As Aboriginal people are under-reported on Death Registration Forms, it is likely that the true numbers are higher than shown."
"Local Health Districts (LHDs) are health administrative areas constituted under Section 17 of the NSW Health Services Act 1997 which became effective from January 2011 and were initially called Local Health Networks."
"Murrumbidgee LHD excludes Albury Local Government Area (LGA)."
"All LHDs includes LHDs where numbers are too low to be individually included, and records where the LHD was missing or not stated."
"Primary Health Networks (PHNs) are health administrative areas which represent primary health care organisations in Australia from July 2014."
"All PHNs include records where the Primary Health Network is missing or not stated as well as records assigned to the NSW portion of the Murray PHN."
"The Accessibility/Remoteness Index of Australia Plus (ARIA plus) is a remoteness index value (or score) based on road distance to major service centres (GISCA)."
"Statistical Areas are grouped according to Australian Statistical Geographic Standard (ASGS) remoteness categories on the basis of Accessibility/Remoteness Index for Australia (ARIA version) score."
"Outer regional and remote includes very remote."
"Socio-Economic Indexes for Areas (SEIFA) are produced by the Australian Bureau of Statistics, with four indexes currently being produced. Index of Relative Socio-Economic Disadvantage (IRSD) is the main index reported by HealthStats NSW. It includes characteristics relating to occupation, education, non-English speaking background and the economic resources of the household."
"Quintiles of socioeconomic status (Index of Relative Socioeconomic Disadvantage) based on the Australian Bureau of Statistics' Socio-Economic Indexes for Areas were allocated based on Statistical Local Area of residence (before 2009) or Statistical Area Level 2 of residence (2009 and after)."
""
