"Drug-induced and drug-related deaths by Drug death type and Age (years)"
"Drug death type","Age (years)","Period","Rate per 100,000 population","LL 95% CI","UL 95% CI"
"Drug-related","15-24 years","2013-2014","3.9","3.1","4.9"
"Drug-related","15-24 years","2014-2015","3.5","2.7","4.4"
"Drug-related","15-24 years","2015-2016","4.4","3.5","5.4"
"Drug-related","15-24 years","2016-2017","5.7","4.7","6.8"
"Drug-related","15-24 years","2017-2018","5.9","4.9","7.0"
"Drug-related","15-24 years","2018-2019","5.8","4.8","7.0"
"Drug-related","25-34 years","1997-1998","3.3","2.6","4.2"
"Drug-related","25-34 years","1998-1999","3.1","2.3","4.0"
"Drug-related","25-34 years","1999-2000","2.1","1.5","2.9"
"Drug-related","25-34 years","2000-2001","3.0","2.2","3.8"
"Drug-related","25-34 years","2001-2002","2.8","2.1","3.6"
"Drug-related","25-34 years","2002-2003","2.0","1.4","2.7"
"Drug-related","25-34 years","2003-2004","1.7","1.2","2.4"
"Drug-related","25-34 years","2004-2005","1.5","1.0","2.2"
"Drug-related","25-34 years","2005-2006","2.0","1.4","2.7"
"Drug-related","25-34 years","2006-2007","2.3","1.6","3.0"
"Drug-related","25-34 years","2007-2008","2.4","1.8","3.2"
"Drug-related","25-34 years","2008-2009","2.4","1.7","3.2"
"Drug-related","25-34 years","2009-2010","1.8","1.3","2.5"
"Drug-related","25-34 years","2010-2011","1.5","1.0","2.2"
"Drug-related","25-34 years","2011-2012","2.5","1.9","3.3"
"Drug-related","25-34 years","2012-2013","3.7","2.9","4.6"
"Drug-related","25-34 years","2013-2014","3.6","2.8","4.5"
"Drug-related","25-34 years","2014-2015","4.7","3.8","5.7"
"Drug-related","25-34 years","2015-2016","6.3","5.3","7.5"
"Drug-related","25-34 years","2016-2017","7.4","6.3","8.6"
"Drug-related","25-34 years","2017-2018","7.4","6.4","8.6"
"Drug-related","25-34 years","2018-2019","6.8","5.8","7.9"
"Drug-related","35-44 years","1997-1998","2.6","2.0","3.5"
"Drug-related","35-44 years","1998-1999","3.1","2.4","4.0"
"Drug-related","35-44 years","1999-2000","2.6","2.0","3.5"
"Drug-related","35-44 years","2000-2001","2.6","1.9","3.4"
"Drug-related","35-44 years","2001-2002","2.2","1.6","3.0"
"Drug-related","35-44 years","2002-2003","1.9","1.3","2.6"
"Drug-related","35-44 years","2003-2004","2.0","1.4","2.8"
"Drug-related","35-44 years","2004-2005","2.2","1.6","2.9"
"Drug-related","35-44 years","2005-2006","2.0","1.4","2.8"
"Drug-related","35-44 years","2006-2007","2.1","1.5","2.9"
"Drug-related","35-44 years","2007-2008","2.5","1.9","3.3"
"Drug-related","35-44 years","2008-2009","2.9","2.2","3.8"
"Drug-related","35-44 years","2009-2010","3.0","2.3","3.9"
"Drug-related","35-44 years","2010-2011","2.7","2.0","3.5"
"Drug-related","35-44 years","2011-2012","3.3","2.6","4.2"
"Drug-related","35-44 years","2012-2013","5.2","4.3","6.3"
"Drug-related","35-44 years","2013-2014","6.7","5.6","7.9"
"Drug-related","35-44 years","2014-2015","7.4","6.3","8.7"
"Drug-related","35-44 years","2015-2016","8.8","7.5","10.1"
"Drug-related","35-44 years","2016-2017","10.5","9.1","12.0"
"Drug-related","35-44 years","2017-2018","10.7","9.3","12.2"
"Drug-related","35-44 years","2018-2019","10.1","8.8","11.6"
"Drug-related","45-54 years","1997-1998","1.8","1.2","2.5"
"Drug-related","45-54 years","1998-1999","2.1","1.4","2.9"
"Drug-related","45-54 years","1999-2000","1.8","1.2","2.6"
"Drug-related","45-54 years","2000-2001","1.7","1.2","2.4"
"Drug-related","45-54 years","2001-2002","2.0","1.4","2.8"
"Drug-related","45-54 years","2002-2003","1.9","1.3","2.7"
"Drug-related","45-54 years","2003-2004","1.6","1.1","2.3"
"Drug-related","45-54 years","2004-2005","1.6","1.1","2.3"
"Drug-related","45-54 years","2005-2006","2.5","1.8","3.3"
"Drug-related","45-54 years","2006-2007","3.5","2.7","4.4"
"Drug-related","45-54 years","2007-2008","3.7","2.9","4.7"
"Drug-related","45-54 years","2008-2009","3.2","2.4","4.1"
"Drug-related","45-54 years","2009-2010","3.3","2.5","4.2"
"Drug-related","45-54 years","2010-2011","3.7","2.9","4.6"
"Drug-related","45-54 years","2011-2012","3.8","3.0","4.8"
"Drug-related","45-54 years","2012-2013","4.7","3.8","5.7"
"Drug-related","45-54 years","2013-2014","7.2","6.1","8.5"
"Drug-related","45-54 years","2014-2015","8.9","7.7","10.4"
"Drug-related","45-54 years","2015-2016","8.1","6.9","9.5"
"Drug-related","45-54 years","2016-2017","9.8","8.5","11.3"
"Drug-related","45-54 years","2017-2018","11.0","9.6","12.6"
"Drug-related","45-54 years","2018-2019","11.2","9.8","12.8"
"Drug-related","55-64 years","1997-1998","1.3","0.7","2.1"
"Drug-related","55-64 years","1998-1999","1.3","0.7","2.2"
"Drug-related","55-64 years","1999-2000","1.4","0.8","2.3"
"Drug-related","55-64 years","2000-2001","1.6","0.9","2.4"
"Drug-related","55-64 years","2001-2002","1.4","0.8","2.2"
"Drug-related","55-64 years","2002-2003","1.1","0.6","1.9"
"Drug-related","55-64 years","2003-2004","1.3","0.8","2.1"
"Drug-related","55-64 years","2004-2005","1.6","1.0","2.4"
"Drug-related","55-64 years","2005-2006","1.3","0.8","2.0"
"Drug-related","55-64 years","2006-2007","1.7","1.1","2.6"
"Drug-related","55-64 years","2007-2008","2.2","1.5","3.1"
"Drug-related","55-64 years","2008-2009","2.0","1.4","2.8"
"Drug-related","55-64 years","2009-2010","2.7","2.0","3.7"
"Drug-related","55-64 years","2010-2011","3.4","2.6","4.4"
"Drug-related","55-64 years","2011-2012","3.8","2.9","4.8"
"Drug-related","55-64 years","2012-2013","5.2","4.2","6.4"
"Drug-related","55-64 years","2013-2014","6.1","5.0","7.4"
"Drug-related","55-64 years","2014-2015","6.5","5.3","7.8"
"Drug-related","55-64 years","2015-2016","7.2","6.0","8.6"
"Drug-related","55-64 years","2016-2017","7.2","6.0","8.6"
"Drug-related","55-64 years","2017-2018","8.1","6.8","9.5"
"Drug-related","55-64 years","2018-2019","9.3","8.0","10.8"
"Drug-related","65+ years","1997-1998","4.3","3.4","5.5"
"Drug-related","65+ years","1998-1999","3.5","2.6","4.6"
"Drug-related","65+ years","1999-2000","3.8","2.9","4.9"
"Drug-related","65+ years","2000-2001","3.6","2.8","4.7"
"Drug-related","65+ years","2001-2002","3.1","2.4","4.1"
"Drug-related","65+ years","2002-2003","2.7","2.0","3.5"
"Drug-related","65+ years","2003-2004","2.1","1.5","2.9"
"Drug-related","65+ years","2004-2005","2.2","1.6","3.0"
"Drug-related","65+ years","2005-2006","2.3","1.7","3.1"
"Drug-related","65+ years","2006-2007","2.1","1.5","2.9"
"Drug-related","65+ years","2007-2008","2.6","1.9","3.4"
"Drug-related","65+ years","2008-2009","2.6","1.9","3.4"
"Drug-related","65+ years","2009-2010","2.3","1.7","3.1"
"Drug-related","65+ years","2010-2011","2.1","1.6","2.9"
"Drug-related","65+ years","2011-2012","1.8","1.3","2.5"
"Drug-related","65+ years","2012-2013","3.1","2.4","3.9"
"Drug-related","65+ years","2013-2014","4.3","3.5","5.3"
"Drug-related","65+ years","2014-2015","3.8","3.1","4.7"
"Drug-related","65+ years","2015-2016","3.2","2.5","4.0"
"Drug-related","65+ years","2016-2017","3.7","3.0","4.6"
"Drug-related","65+ years","2017-2018","3.7","3.0","4.6"
"Drug-related","65+ years","2018-2019","2.8","2.2","3.6"
"Drug-related","All ages","1997-1998","2.1","1.8","2.4"
"Drug-related","All ages","1998-1999","2.1","1.8","2.3"
"Drug-related","All ages","1999-2000","1.8","1.6","2.1"
"Drug-related","All ages","2000-2001","1.9","1.7","2.2"
"Drug-related","All ages","2001-2002","1.7","1.5","2.0"
"Drug-related","All ages","2002-2003","1.4","1.2","1.6"
"Drug-related","All ages","2003-2004","1.3","1.1","1.5"
"Drug-related","All ages","2004-2005","1.3","1.1","1.5"
"Drug-related","All ages","2005-2006","1.5","1.3","1.7"
"Drug-related","All ages","2006-2007","1.8","1.5","2.0"
"Drug-related","All ages","2007-2008","2.0","1.8","2.2"
"Drug-related","All ages","2008-2009","1.9","1.7","2.1"
"Drug-related","All ages","2009-2010","1.9","1.6","2.1"
"Drug-related","All ages","2010-2011","1.9","1.6","2.1"
"Drug-related","All ages","2011-2012","2.1","1.9","2.4"
"Drug-related","All ages","2012-2013","3.3","3.0","3.6"
"Drug-related","All ages","2013-2014","4.2","3.9","4.6"
"Drug-related","All ages","2014-2015","4.6","4.3","5.0"
"Drug-related","All ages","2015-2016","5.1","4.7","5.4"
"Drug-related","All ages","2016-2017","6.0","5.6","6.4"
"Drug-related","All ages","2017-2018","6.3","5.9","6.7"
"Drug-related","All ages","2018-2019","6.1","5.8","6.5"
""
"Source:"
"Mortality estimates for years up to 2005 are based on Australian Bureau of Statistics death registration data. Data from 2006 onwards were provided by the Australian Coordinating Registry, Cause of Death Unit Record File; the data for the most 2 recent years are preliminary (SAPHaRI, Centre for Epidemiology and Evidence, NSW Ministry of Health)."
"Citation:"
"Centre for Epidemiology and Evidence.  HealthStats NSW. Sydney:  NSW Ministry of Health Available at: https://www.healthstats.nsw.gov.au/#/r/103007 Accessed: 21/06/2022"
"Notes:"
"Sources"
"Mortality estimates for years up to 2005 are based on Australian Bureau of Statistics death registration data. Data from 2006 onwards were provided by the Australian Coordinating Registry, Cause of Death Unit Record File; the data for the most 2 recent years are preliminary (SAPHaRI, Centre for Epidemiology and Evidence, NSW Ministry of Health)."
""
"Definition"
"Total drug deaths include all deaths where the ICD-10 codes listed are cited as either the underlying cause of death (i.e. drug-induced) or an associated cause of death (i.e. drug-related; and not drug-induced). This measures the burden related to drug use where the underlying cause may be directly or indirectly associated with drug use. Reports from other groups (including the Australian Bureau of Statistics) only include deaths directly associated with drug use."
"The cause of death unit record file is a snapshot of data that is compiled and coded (ICD-10) by the Australian Bureau of Statistics (ABS), based on data from the data custodians, that is correct as at a point in time."
"Inclusions & Exclusions"
"Only NSW residents are included."
""
"Coding"
"Deaths were classified using ICD-10 from 1997 onwards."
"Statistical Methods"
"Counts of deaths for the latest year of data include an estimate of the number of deaths occurring in that year but registered in the next year."
"The ABS undertake a revision process for coroner-certified deaths over a 3-year period. Accordingly, causes of death data for the two most recent years reported are preliminary and subject to two further revisions; data for the third most recent year are revised and subject to another revision; data for earlier years are final."
"Rates were age-adjusted using the Australian population as at 30 June 2001."
"Dimensions/Variables"
"The Accessibility/Remoteness Index of Australia Plus (ARIA plus) is a remoteness index value (or score) based on road distance to major service centres (GISCA)."
"Statistical Areas are grouped according to Australian Statistical Geographic Standard (ASGS) remoteness categories on the basis of Accessibility/Remoteness Index for Australia (ARIA version) score."
"Socio-Economic Indexes for Areas (SEIFA) are produced by the Australian Bureau of Statistics, with four indexes currently being produced. Index of Relative Socio-Economic Disadvantage (IRSD) is the main index reported by HealthStats NSW. It includes characteristics relating to occupation, education, non-English speaking background and the economic resources of the household."
"Quintiles of socioeconomic status (Index of Relative Socioeconomic Disadvantage) based on the Australian Bureau of Statistics' Socio-Economic Indexes for Areas were allocated based on Statistical Local Area of residence (before 2009) or Statistical Area Level 2 of residence (2009 and after)."
